Section,Type,Name,Tier,PriceCr,Perk,Description,Use,Attunement,Where To Find
Gear,Armor,Shock-Pad Harness Mk II,T4,32900,+2 TC; first elemental hit ˆ’3.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Armor,Reflex Stitch Vest Mk II,T4,36800,+2 TC; first elemental hit ˆ’3.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Armor,Enviro-Matched Suit Mk II,T4,40800,+2 TC; first elemental hit ˆ’3.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Armor,Cryo-Lined Suit Mk II,T4,44700,+2 TC; first elemental hit ˆ’3.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Shield,Echo-Deflector Disk Mk II,T4,48700,+2 TC; 1 lightning on a miss.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Shield,Kinetic Bracer Mk II,T4,52600,+2 TC; 1 lightning on a miss.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Shield,Surge Buffer Mk II,T4,56600,+2 TC; 1 lightning on a miss.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Weapon,Shock Maul Mk II,T4,60500,Damage 1d81d10; ignore light cover 1/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Weapon,Coil Carbine Mk II,T4,64500,Damage 1d81d10; ignore light cover 1/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Weapon,Cryo Sprayer Mk II,T4,68400,Damage 1d81d10; ignore light cover 1/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Weapon,Monofilament Whip Mk II,T4,72400,Damage 1d81d10; ignore light cover 1/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Weapon,Stun Rifle Mk II,T4,76300,Damage 1d81d10; ignore light cover 1/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Weapon,Thermal Pike Mk II,T4,80300,Damage 1d81d10; ignore light cover 1/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Utility,Aegis Burst Pack Mk II,T4,84200,+2 TC for 1 round after spend.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Utility,Loopfield Projector Mk II,T4,88200,+2 TC for 1 round after spend.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Utility,Perception Sync Visor Mk II,T4,92100,+2 TC for 1 round after spend.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Utility,Kinetic Assist Boots Mk II,T4,96100,+2 TC for 1 round after spend.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Utility,Mirror-Gate Charm Mk II,T4,100000,+2 TC for 1 round after spend.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Gear,Armor,Street Mesh Mk III,T3,125000,+3 TC; gain 1 SP when hit by AoE 1/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Armor,KevLayer Suit Mk III,T3,138200,+3 TC; gain 1 SP when hit by AoE 1/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Armor,Shock-Pad Harness Mk III,T3,151300,+3 TC; gain 1 SP when hit by AoE 1/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Armor,Reflex Stitch Vest Mk III,T3,164500,+3 TC; gain 1 SP when hit by AoE 1/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Armor,Enviro-Matched Suit Mk III,T3,177600,+3 TC; gain 1 SP when hit by AoE 1/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Shield,Flex-Wall Strap Mk III,T3,190800,+2 TC; 50% miss once/day.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Shield,Reactive Guard Mk III,T3,203900,+2 TC; 50% miss once/day.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Shield,Thermal Diffuser Mk III,T3,217100,+2 TC; 50% miss once/day.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Carbon Hammer Mk III,T3,230300,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Smart Pistol Mk III,T3,243400,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Net Launcher Mk III,T3,256600,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Arc Bow Mk III,T3,269700,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Sonic Pistol Mk III,T3,282900,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Gauss Lance Mk III,T3,296100,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Weapon,Grav-Axe Mk III,T3,309200,Damage 1d102d8; line or cone special once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Utility,Aegis Burst Pack Mk III,T3,322400,reflect a failed attack once/scene.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Utility,Loopfield Projector Mk III,T3,335500,reflect a failed attack once/scene.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Utility,Perception Sync Visor Mk III,T3,348700,reflect a failed attack once/scene.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Utility,Kinetic Assist Boots Mk III,T3,361800,reflect a failed attack once/scene.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Utility,Mirror-Gate Charm Mk III,T3,375000,reflect a failed attack once/scene.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 30 minutes focus + 3 SP imprint. Max 3 active.,"O.M.N.I. requisitions, Greyline brokers, vetted private labs, reliquary dealers."
Gear,Armor,Street Mesh Prime,T2,400000,+3 TC; first hit ˆ’5 damage.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Armor,KevLayer Suit Prime,T2,442900,+3 TC; first hit ˆ’5 damage.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Armor,Shock-Pad Harness Prime,T2,485700,+3 TC; first hit ˆ’5 damage.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Armor,Reflex Stitch Vest Prime,T2,528600,+3 TC; first hit ˆ’5 damage.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Shield,Impact Cuff Prime,T2,571400,+3 TC; adjacent allies +1 TC.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Shield,Echo-Deflector Disk Prime,T2,614300,+3 TC; adjacent allies +1 TC.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Shield,Kinetic Bracer Prime,T2,657100,+3 TC; adjacent allies +1 TC.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Weapon,Throwing Disks Prime,T2,700000,Damage 2d8; burst line 30 ft. once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Weapon,Shock Maul Prime,T2,742900,Damage 2d8; burst line 30 ft. once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Weapon,Coil Carbine Prime,T2,785700,Damage 2d8; burst line 30 ft. once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Weapon,Cryo Sprayer Prime,T2,828600,Damage 2d8; burst line 30 ft. once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Weapon,Monofilament Whip Prime,T2,871400,Damage 2d8; burst line 30 ft. once/scene.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Utility,Phase-Step Belt Prime,T2,914300,your next SP effect +1d4.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Utility,Nullskin Emitter Prime,T2,957100,your next SP effect +1d4.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Utility,Chrono-Anchor Locket Prime,T2,1000000,your next SP effect +1d4.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Greyline masterworks, Conclave-aligned houses, O.M.N.I. vault issue."
Gear,Armor,Street Mesh Royal,T1,1250000,+3 TC; immune to Stun once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Armor,KevLayer Suit Royal,T1,1409100,+3 TC; immune to Stun once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Armor,Shock-Pad Harness Royal,T1,1568200,+3 TC; immune to Stun once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Shield,MagSeal Guard Royal,T1,1727300,+3 TC; reflect one ranged hit/encounter.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Shield,Flex-Wall Strap Royal,T1,1886400,+3 TC; reflect one ranged hit/encounter.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Weapon,Climbers Pick Royal,T1,2045500,Damage 2d10; reflect or disarm another creature.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Weapon,Throwing Disks Royal,T1,2204500,Damage 2d10; reflect or disarm another creature.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Weapon,Shock Maul Royal,T1,2363600,Damage 2d10; reflect or disarm another creature.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Weapon,Coil Carbine Royal,T1,2522700,Damage 2d10; reflect or disarm another creature.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Utility,Pulse Guard Band Royal,T1,2681800,auto-succeed your first Concentration save.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Utility,Hazard Comp Implant Royal,T1,2840900,auto-succeed your first Concentration save.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Utility,Temporal Leech Ring Royal,T1,3000000,auto-succeed your first Concentration save.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,"Conclave vault access, O.M.N.I. black-book issue, invitation-only markets."
Gear,Armor,Street Mesh Absolute,T0,3750000,+4 TC; ignore crit once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Armor,KevLayer Suit Absolute,T0,4642900,+4 TC; ignore crit once/scene.,Protective wear with kinetic weave and responsive plating.,Wear; passive protection; some reaction triggers.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Shield,Kite Bracer Absolute,T0,5535700,+4 TC; phase one attack per scene.,Portable defense module projecting micro-fields.,Forearm mount; passive; some perks use a reaction.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Weapon,Scatter Dart-gun Absolute,T0,6428600,Damage 3d8; pierce nonliving cover and shield once/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Weapon,Climbers Pick Absolute,T0,7321400,Damage 3d8; pierce nonliving cover and shield once/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Weapon,Throwing Disks Absolute,T0,8214300,Damage 3d8; pierce nonliving cover and shield once/round.,Reliable combat tool engineered for Catalyst ops.,Standard attack rules; perk triggers as listed.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Utility,Echo-Node Charm Absolute,T0,9107100,treat any roll as 20 once/session.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Gear,Utility,Adrenal Booster Absolute,T0,10000000,treat any roll as 20 once/session.,Personal focus apparatus channeling local resonance.,Wear/deploy; bonus action to toggle unless noted.,Required: 1 hour calibration + 5 SP imprint. Max 3 active.,Conclave reliquary keepers or unique story rewards only.
Catalyst,,Ember-Vein Gauntlet,T5,4000,+1d4 fire on a melee hit once per scene,"Thin heat channels woven through a glove, channeling a shards ember resonance.",Bonus action to charge; effect expires end of turn.,None.,"PFV quartermaster, city outfitters."
Catalyst,,Whisper-Step Treads,T5,6000,Advantage on Stealth while moving ‰¤15 ft./turn,Micro-baffled soles dissipate footfall noise.,Passive while worn.,"Optional, 10 minutes focus and 3 SP imprint.","PFV, licensed vendors."
Catalyst,,Flicker Pin,T5,8000,"5 ft. teleport reaction when targeted, 1/scene",Shard mote mounted in a lapel pin flashes space-sideways.,Reaction on being targeted.,"Optional, 10 minutes and 3 SP.","PFV rare case, O.M.N.I. returns."
Catalyst,,Lens of Clarity,T5,3500,"+1 Passive Perception, advantage vs visual illusions",Monocle etched with clarity runes.,Passive.,None.,City surplus auctions.
Catalyst,,Surge-weave Undersuit,T5,10000,+1 TC on the first round of combat,Kinetic-responsive mesh primes at first contact.,Passive.,"Optional, 10 minutes and 3 SP.",PFV quartermaster.
Catalyst,,Ember Capsule x3,T5,2500,"Next weapon hit inflicts Burn 1, CON save negates",Catalytic vials that lace a strike with heat.,Bonus action before attack; single use.,None.,Neighborhood outfitters.
Catalyst,,Echo Charm,T5,7500,Once per scene reroll a failed check,Pendant storing a micro-echo of success.,Free on failure.,"Optional, 10 minutes and 3 SP.",PFV rare bin.
Catalyst,,Phase Stitch Bandage,T5,5000,Heal 1d6 HP and ignore one minor condition for 1 minute,Phase-aligned fibers re-knit wounds briefly.,Action on self or adjacent ally.,None.,Clinic vendors.
Catalyst,,Galesong Cloaklet,T5,9000,"+10 ft. move for 1 minute, 1/scene",Light mantle that drinks the wind.,Bonus action to activate.,"Optional, 10 minutes and 3 SP.",PFV quartermaster.
Catalyst,,Shard-Tuned Compass,T5,4500,Points to last placed personal marker within 2 miles,Resonance needle locks to your mark.,Bonus action to place or read.,None.,Street techs.
Catalyst,,Halo-Spark Ring,T5,6500,+1 to Initiative,Ring with micro-capacitor woven to a shard.,Passive.,"Optional, 10 minutes and 3 SP.","City jewelers, PFV."
Catalyst,,Tangle Thread Capsule x2,T5,3000,Create 10 ft. sticky terrain for 2 rounds (DEX save to avoid restrained),Burst-net microspools detonate into adhesive mesh.,Action to throw within 30 ft.,None.,Outfitters.
Catalyst,,Sentinel Patch,T5,1500,Autosucceed on a simple alertness/wake-up check once per scene,Micro-vibe alert patch keyed to heart rhythm.,Passive trigger.,None.,PFV quartermaster.
Catalyst,,Ember-Cool Gel,T5,2500,End Burn or Freeze on self,Dual-phase salve that quenches extremes.,Bonus action to apply.,None.,Med kiosks.
Catalyst,,Lightweave Shawl,T5,7000,Bright light 20 ft.; advantage on Search in darkness 10 minutes,Photonic filament woven through a shawl.,Bonus action to ignite.,None.,Licensed vendors.
Catalyst,,Gravitic Buckle,T5,8500,Reduce fall damage by 20,Pulse field cushions terminal descent.,Reaction when falling.,"Optional, 10 minutes and 3 SP.",PFV.
Catalyst,,Static Wick Cuff,T5,5500,"Impose disadvantage on one lightning attack against you (reaction), 1/scene",Discharge braid wicks hostile current.,Reaction.,"Optional, 10 minutes and 3 SP.",PFV.
Catalyst,,Mind-Quiet Beads,T5,6000,"Advantage on Concentration saves for 1 minute, 1/scene",Clicking focus beads slow racing thoughts.,Bonus action.,"Optional, 10 minutes and 3 SP.","Meditation stalls, PFV."
Catalyst,,Ember-Kissed Blade Oil,T5,3500,+1 fire damage for 1 minute,Catalytic oil that flares on impact.,Action to apply to a weapon.,None.,Weapon smiths.
Catalyst,,Shrike-Line Grappler,T5,12000,60 ft. swing or pull as movement,Wrist-mounted grapple head with auto-reel.,Action to fire; reel during movement.,None.,PFV.
Catalyst,,Bulwark Brooch,T5,9500,+1 TC for one round when first hit each encounter,Impact-sensing clip stiffens kinetic weave.,Reaction on first hit.,"Optional, 10 minutes and 3 SP.",PFV.
Catalyst,,Cold-Sight Lens,T5,8000,See heat signatures 60 ft. for 10 minutes,Thermal monocle keyed to living heat.,Bonus action to toggle.,None.,Optics vendors.
Catalyst,,Rookstone Token,T5,10000,Resist shove or grapple once per scene,Dense shard chip anchors your footing.,Reaction.,"Optional, 10 minutes and 3 SP.",PFV.
Catalyst,,Wind-Key Whistle,T5,4000,Call a micro-drone courier in ~10 minutes anywhere in district,Tuned whistle routes a courier drone.,Action to call.,None.,Courier stalls.
Catalyst,,Lantern of Honesty,T5,15000,Advantage to detect lies in 10 ft. for 1 minute,Resonance lamp brightens micro-inflections.,Bonus action to ignite.,"Optional, 10 minutes and 3 SP.",Boutique vendors.
Catalyst,,Aegis-Chord Vest,T4,40000,+2 TC; first elemental hit each scene reduced by 3,Chorded kinetic filaments cross-link on impact.,Passive while worn.,"Optional, 10 minutes and 3 SP.","PFV, O.M.N.I. return program."
Catalyst,,Hunters Prism Scope,T4,55000,Ignore light cover once per round,Refractive stack recomputes trajectories.,Passive while mounted to a firearm.,"Optional, 10 minutes and 3 SP.",Licensed weapon vendors.
Catalyst,,Phase-Step Anklets,T4,75000,Ignore difficult terrain; +2 TC while moving  15 ft.,Anklets phase your step a hair out of sync.,Passive while worn.,"Required, 30 minutes and 3 SP.",O.M.N.I. requisition.
Catalyst,,Ember-Pulse Baton,T4,60000,Once per scene add Stun on hit (WIS save),Baton with surge cell overdrives on impact.,Declare before hit resolves.,"Optional, 10 minutes and 3 SP.",PFV elite kit.
Catalyst,,Gale-Singer Hood,T4,70000,You cannot be deafened; voice carries clearly in storms,Resonant cowl cancels turbulent noise.,Passive.,"Optional, 10 minutes and 3 SP.",Licensed outfitters.
Catalyst,,Mirror-Veil Bracer,T4,90000,Reaction: impose disadvantage on one ranged attack each scene,Prismatic plates create a mirage edge.,Reaction when targeted.,"Required, 30 minutes and 3 SP.",Greyline brokers.
Catalyst,,Tidemark Flask,T4,35000,"10 ft. wave pushes 10 ft. (STR save), 3 charges/long rest",Bound tide in a glass ampoule.,Action to uncork toward target area.,None.,Licensed alchemists.
Catalyst,,Stalwarts Coin,T4,50000,End Frightened on self once per scene,Coin etched with rampart sigils.,Bonus action.,"Optional, 10 minutes and 3 SP.",PFV.
Catalyst,,Night-Candle Goggles,T4,65000,Darkvision-like sight 120 ft.; see lightly through smoke,Twin lenses amplify scant photons.,Passive while worn.,"Optional, 10 minutes and 3 SP.",Optics vendors.
Catalyst,,Ember-Net Launcher,T4,80000,Restrain medium target (STR save ends),Catalytic net hardens on contact.,Action to fire.,None.,PFV.
